2428	興勤	155
2429	銘旺科	31.2
2430	燦坤	30.75
2431	聯昌	13.9
2432	倚天酷碁	30.85
2433	互盛電	50
2434	統懋	31.3
2436	偉詮	57.1
2438	翔耀	35.4
2439	美律	105
2440	太空梭	12.5
2441	超豐	57.2
2442	新美齊	24.3
2444	兆勁	16.4
2449	京元電	109.5
2450	神腦	32.95
2451	創見	90.2
2453	凌群	56.9
2455	全新	175
2457	飛宏	37.7
2458	義隆電	152.5
2459	敦吉	69.8
2460	建通	24.05
2461	光群雷	19.8
2462	良得	25.9
2464	盟立	78.6
2465	麗台	71
2466	冠西電	37.9
2467	志聖	214
2468	華經	26.8
2471	資通	52.5
2472	立隆	80.9
2474	可成	176.5
2476	鉅祥	83.9
2477	美隆電	28.85
2478	大毅	46.1
2480	敦陽科	131.5
2481	強茂	49.85
2482	連宇	25.9
2483	百容	21.7
2484	希華	25.55
2485	兆赫	15.35
2486	一詮	108
2488	漢平	57.3
2489	瑞軒	18.9
2491	吉祥全	11.35
2492	華新科	92.2
2493	揚博	96.7
2495	普安	31.15
2496	卓越	82
2497	怡利電	60.1
2498	宏達電	42.1
2501	國建	24.35
2504	國產	51.4
2505	國揚	21.35
2506	太設	11.15
2509	全坤興	16.75
2511	太子	10.5
2514	龍邦	19.9
2515	中工	10.9
2516	新建	12.85
2520	冠德	52.5
2524	京城	68.1
2527	宏璟	36.6
2528	皇普	38.05
2530	華建	39
2534	宏盛	26
2535	達欣工	53.4
2536	宏普	31
2537	聯上發	12.55
2538	基泰	15
2539	櫻花建	50.2
2540	愛山林	87.3
2542	興富發	45.05
2543	皇昌	71
2545	皇翔	62.7
2546	根基	70
2547	日勝生	11
2548	華固	118.5
2596	綠意	39.4
2597	潤弘	153.5
2601	益航	7.24
2603	長榮海	231
2605	新興	25.65
2606	裕民	56.1
2607	榮運	31.55
2608	大榮	39.1
2609	陽明	78.7
2610	華航	26.2
2611	志信	21.8
2612	中航	40.75
2613	中櫃	33.9
2614	東森	16.95
2615	萬海	82.2
2616	山隆	17.4
2617	台航	29.5
2618	長榮航	44.45
2630	亞航	32.5
2633	高鐵	28.25
2634	漢翔	43.65
2636	台驊	78.3
2637	慧洋-KY	67.6
2640	大車隊	130
2641	正德	18.25
2642	宅配通	35.55
2643	捷迅	75.2
2645	長榮航太	93.7
2646	星宇航空	28.05
2701	萬企	12.65
2702	華園	16.35
2704	國賓	56
2705	六福	17.65
2706	第一店	14.7
2707	晶華	194
2712	悅來	24.5
2718	晶悅	84.3
2719	燦星旅	41.8
2722	夏都	33.05
2723	美食-KY	100.5
2724	富驛-KY	36.2
2726	雅茗-KY	29.8
2727	王品	239
2729	瓦城	204
2731	雄獅	122.5
2732	六角	103.5
2734	易飛網	29.2
2736	高野	19.15
2739	寒舍	52.8
2740	天蔥	22.35
2743	山富	98
2745	五福	106.5
2748	雲品	60.9
2751	王座	67.3
2752	豆府	242.5
2753	八方雲集	150
2754	亞洲藏壽司	88.5
2755	揚秦	106.5
2756	聯發國際	76.3
2762	世界健身-KY	95.9
2801	彰銀	17.8
2809	京城銀	50
2812	台中銀	19.05
2816	旺旺保	31.75
2820	華票	15.25
2832	台產	29.3
2834	台企銀	14.85
2836	高雄銀	11.55
2838	聯邦銀	15.5
2845	遠東銀	13.55
2849	安泰銀	14.2
2850	新產	105.5
2851	中再保	25.9
2852	第一產	24.75
2855	統一證	26.05
2867	三商壽	6.4
2880	華南金	26.55
2881	富邦金	92.5
2882	國泰金	68.6
2883	開發金	18.05
2884	玉山金	27.55
2885	元大金	34.85
2886	兆豐金	39.2
2887	台新金	17.5
2888	新光金	11.95
2889	國票金	15.2
2890	永豐金	23.2
2891	中信金	39.9
2892	第一金	27.75
2897	王道銀行	9.78
2901	欣欣	27.4
2903	遠東百	23.65
2904	匯僑	17.9
2905	三商行	15.65
2906	高林	17.2
2908	特力	20
