Date,Price,Change,% Change,EPS,PER,8X,9.8X,11.6X,13.4X,15.2X,17X
23W05,14.3,-0.05,-0.35%,0.07,199.3,0.036,0.459,0.883,1.306,1.73,2.153
23W03,14.35,+0.1,+0.7%,0.04,369.6,0.019,0.248,0.478,0.707,0.936,1.165
23W02,14.25,-0.3,-2.06%,0.01,2422,0.003,0.038,0.072,0.107,0.142,0.176
23W01,14.55,-0.15,-1.02%,-0.03,,-,-,-,-,-,-
22W53,14.7,0,0%,-0.06,,-,-,-,-,-,-
22W52,14.7,-0.1,-0.68%,-0.06,,-,-,-,-,-,-
22W51,14.8,+0.5,+3.5%,-0.06,,-,-,-,-,-,-
22W50,14.3,-0.05,-0.35%,-0.05,,-,-,-,-,-,-
22W49,14.35,-0.3,-2.05%,-0.05,,-,-,-,-,-,-
22W48,14.65,+0.1,+0.69%,-0.05,,-,-,-,-,-,-
22W47,14.55,+0.25,+1.75%,-0.05,,-,-,-,-,-,-
22W46,14.3,+0.05,+0.35%,-0.04,,-,-,-,-,-,-
22W45,14.25,+0.25,+1.79%,-0.04,,-,-,-,-,-,-
22W44,14,-0.4,-2.78%,-0.04,,-,-,-,-,-,-
22W43,14.4,+0.05,+0.35%,-0.04,,-,-,-,-,-,-
22W42,14.35,-0.75,-4.97%,-0.03,,-,-,-,-,-,-
22W41,15.1,0,0%,-0.03,,-,-,-,-,-,-
22W40,15.1,-0.3,-1.95%,-0.03,,-,-,-,-,-,-
22W39,15.4,-0.15,-0.96%,-0.03,,-,-,-,-,-,-
22W38,15.55,+0.65,+4.36%,-0.03,,-,-,-,-,-,-
22W37,14.9,-0.1,-0.67%,-0.02,,-,-,-,-,-,-
22W36,15,-0.3,-1.96%,-0.02,,-,-,-,-,-,-
22W35,15.3,+0.35,+2.34%,-0.02,,-,-,-,-,-,-
22W34,14.95,+0.25,+1.7%,-0.02,,-,-,-,-,-,-
22W33,14.7,+0.6,+4.26%,-0.01,,-,-,-,-,-,-
22W32,14.1,-0.15,-1.05%,-0.01,,-,-,-,-,-,-
22W31,14.25,+0.05,+0.35%,-0.01,,-,-,-,-,-,-
22W30,14.2,+0.15,+1.07%,-0.01,,-,-,-,-,-,-
22W29,14.05,-0.3,-2.09%,0,,-,-,-,-,-,-
22W28,14.35,+0.2,+1.41%,0,,-,-,-,-,-,-
22W27,14.15,-0.35,-2.41%,0,,-,-,-,-,-,-
22W26,14.5,+0.5,+3.57%,0,6283,0.001,0.015,0.028,0.042,0.056,0.069
22W25,14,+0.1,+0.72%,0,3033,0.002,0.03,0.057,0.084,0.111,0.138
22W24,13.9,-0.15,-1.07%,0.01,2008,0.003,0.044,0.085,0.126,0.167,0.208
22W23,14.05,+0.15,+1.08%,0.01,1522,0.005,0.059,0.114,0.168,0.222,0.277
22W22,13.9,-0.1,-0.71%,0.01,1205,0.006,0.074,0.142,0.21,0.278,0.346
22W21,14,-0.55,-3.78%,0.01,1011,0.007,0.089,0.17,0.252,0.334,0.415
22W20,14.55,+0.15,+1.04%,0.02,900.7,0.008,0.103,0.199,0.294,0.389,0.485
22W19,14.4,-0.55,-3.68%,0.02,780,0.009,0.118,0.227,0.336,0.445,0.554
22W18,14.95,+0.4,+2.75%,0.02,719.8,0.01,0.133,0.255,0.378,0.501,0.623
22W17,14.55,-0.4,-2.68%,0.02,630.5,0.012,0.148,0.284,0.42,0.556,0.692
22W16,14.95,+0.3,+2.05%,0.03,588.9,0.013,0.162,0.312,0.462,0.612,0.762
22W15,14.65,+1.15,+8.52%,0.03,529,0.014,0.177,0.341,0.504,0.667,0.831
22W14,13.5,+0.15,+1.12%,0.03,450,0.015,0.192,0.369,0.546,0.723,0.9
22W13,13.35,-0.95,-6.64%,0.03,413.2,0.016,0.207,0.397,0.588,0.779,0.969
